date;abs;rel
Jan 19;2.405.586;5.3
Feb 19;2.372.700;5.3
Mar 19;2.301.121;5.1
Apr 19;2.228.876;4.9
May 19;2.235.969;4.9
June 19;2.216.243;4.9
July 19;2.275.461;5.0
Aug 19;2.319.408;5.1
Sept 19;2.234.030;4.9
Oct 19;2.204.090;4.8
Nov 19;2.179.999;4.8
Dec 19;2.227.159;4.9
Jan 20;2.425.523;5.3
Feb 20;2.395.604;5.3
Mar 20;2.335.367;5.1
Apr 20;2.643.744;5.8
May 20;2.812.986;6.1
June 20;2.853.307;6.2
July 20;2.910.008;6.3
Aug 20;2.955.487;6.4
Sept 20;2.847.148;6.2
Oct 20;2.759.780;6.0
Nov 20;2.699.133;5.9
