GEO (Labels);2019-Q1;2019-Q2;2019-Q3;2019-Q4;2020-Q1;2020-Q2;2020-Q3
European Union - 27 countries (from 2020);3.357.124,2;3.474.485,2;3.488.337,4;3.643.940,2;3.336.573,5;3.047.286,6;3.372.525,4
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);2.891.735,4;2.971.761,1;2.978.160,8;3.093.863,4;2.859.301,7;2.589.646,7;2.874.772,1
Euro area - 19 countries  (from 2015);2.891.735,4;2.971.761,1;2.978.160,8;3.093.863,4;2.859.301,7;2.589.646,7;2.874.772,1
Euro area - 12 countries (2001-2006);2.826.474,7;2.900.145,1;2.903.642,7;3.019.878;2.793.550,3;2.524.979;2.801.539,1
Belgium;114.209;120.178;115.420;126.397;113.665;103.698;110.937
Bulgaria;12.847,8;15.179,4;16.198,3;17.014;13.290,3;14.200,9;16.195,8
Czechia;51.692,8;56.106,6;57.145,8;59.015,4;52.795,2;49.529,6;54.778,7
Denmark;75.049,9;78.955,9;78.005,1;80.734,6;76.997;74.284,7;75.865,8
Germany;845.820;846.940;870.150;886.140;851.810;768.770;842.970
Estonia;6.510,9;7.040,6;7.105,1;7.455,8;6.536,9;6.451,6;6.966,3
Ireland;84.928,9;84.930,9;93.225;92.966,4;91.882,4;82.651,8;99.298,3
Greece;41.551,4;46.069,8;50.051;45.741,2;40.555,8;38.024,1;44.542,5
Spain;298.529;315.695;305.647;324.901;290.523;250.776;280.458
France;597.720;606.543;597.695;623.752;579.098;513.877;578.096
Croatia;11.926,7;13.655,4;15.311,8;13.349,9;12.067,8;11.241,7;13.470,7
Italy;427.845,4;444.366,5;443.497,6;474.037,5;407.211,4;370.119,4;424.154,2
Cyprus;5.230,4;5.686,4;5.768,7;5.601,6;5.324,2;4.856,2;5.458,9
Latvia;6.735,1;7.647,7;8.047,2;8.033,3;6.734,1;6.894,3;7.801
Lithuania;10.809,3;12.109,2;13.060,9;12.818;11.218,3;11.572,1;13.186,9
Luxembourg;15.091,1;15.824,4;15.628,8;16.972,1;15.577;14.926,1;15.888,1
Hungary;32.611,3;36.380,2;37.236,8;39.705,1;32.390,4;30.807;34.435,5
Malta;3.134,4;3.354,9;3.533,9;3.439,2;3.211,4;2.857,5;3.221,3
Netherlands;196.565;206.487;199.281;207.914;200.967;191.318;198.782
Austria;96.074,4;98.844,8;98.974,2;103.682;93.823,8;86.150,3;95.614,4
Poland;122.359,3;129.191,2;131.570,2;149.282,6;128.680,3;117.302,4;131.154,1
Portugal;50.896,9;53.352,2;54.200,8;54.851,1;50.762;46.400,8;52.065,4
Romania;42.848,1;51.613,7;61.390;67.419,3;45.018,1;46.122,3;57.616,4
Slovenia;11.252;12.189,9;12.488,9;12.461,7;11.273,9;10.901,2;12.158,3
Slovakia;21.587,9;23.587,2;24.513,3;24.176,8;21.451,8;21.131,8;24.440,1
Finland;57.294;60.896;59.836;62.535;58.132;58.359;58.865
Sweden;115.986,3;121.620,5;113.315,8;123.546,7;116.153,2;114.166,9;114.479,9
United Kingdom;631.105,7;623.637,1;612.678,3;660.925;643.452,6;530.595,8;580.977,6
Iceland;4.989,2;5.484,2;5.723,7;5.793,5;4.823,8;4.469,6;4.536,7
Norway;93.168,6;89.911,5;86.643,6;92.542,6;85.980,1;71.736,2;76.602,9
Switzerland;156.980,9;161.427,6;165.616,9;169.486,8;164.806,1;157.054,8;165.096,9
Montenegro;890,7;1.160,6;1.646,5;1.252,9;917,4;902,4;1.213,4
North Macedonia;2.538,3;2.779,7;2.875;3.016,1;2.607,7;2.332,8;2.781,4
Albania;3.086,5;3.626,9;3.507,3;3.435,6;3.035,5;3.098,3;3.309,2
Serbia;10.215,3;11.329,8;11.910,5;12.518,6;11.079;10.774,7;11.895,9
Turkey;151.445,2;155.684,9;183.629,7;188.393,7;159.253,8;137.583,2;167.827,2
Bosnia and Herzegovina;4.101;4.469,6;4.819,8;4.621,9;4.257,6;4.062,7;
Kosovo (under United Nations Security Council Resolution 1244/99);1.421,3;1.824;1.967,4;1.867;1.437,7;1.635,7;1.828,5
