date;Metropolitan France;Île-de-France;Centre-Val de Loire;Pays de la Loire;Bretagne;Provence-Alpes-Côte d'Azur;Corse;Bourgogne-Franche-Comté;Normandie;Hauts-de-France;Grand Est;Nouvelle-Aquitaine;Occitanie;Auvergne-Rhône-Alpes
2018-03-31;9;8.1;8.6;7.5;7.7;10.7;9.5;7.9;9.2;11.6;8.9;8.6;10.7;7.9
2018-06-30;8.8;8.1;8.5;7.4;7.5;10.4;9;7.7;9;11.3;8.7;8.4;10.6;7.8
2018-09-30;8.6;7.9;8.4;7.4;7.4;10.2;8.7;7.7;8.9;11.1;8.5;8.2;10.4;7.7
2018-12-31;8.4;7.6;8.2;7.1;7.2;10;8.6;7.4;8.6;10.8;8.3;8;10.1;7.5
2019-03-31;8.4;7.7;8.3;7.2;7.2;10;8.7;7.5;8.6;10.8;8.3;8.1;10.3;7.5
2019-06-30;8.2;7.4;8;7;7;9.7;8.1;7.3;8.3;10.3;8.1;7.8;9.9;7.3
2019-09-30;8.1;7.4;8;7;7;9.5;8;7.4;8.2;10.3;8.1;7.7;9.8;7.3
2019-12-31;7.8;7.1;7.7;6.8;6.7;9.1;7.8;7.1;8;10;7.8;7.4;9.5;7
2020-03-31;7.6;7;7.4;6.7;6.5;8.9;7.6;6.8;7.8;9.7;7.6;7.2;9.2;6.9
2020-06-30;7;6.3;6.8;6.6;6.3;8.3;7.6;6.4;7.3;8.5;6.9;6.8;8.4;6.4
2020-09-30;8.8;8.3;8.2;7.9;7.5;10.2;9.2;7.8;8.9;10.8;8.7;8.3;10.5;7.9
2020-09-31;0;0;0;0;0;0;0;0;0;0;0;0;0;0
