Date;Measures;;;;;;;;;;
2020-03-22;schools, shops and restaurants close;;;;;;;;;;
2020-04-29;mandatory masks;;;;;;;;;;
2020-05-04;schools open;;;;;;;;;;
2020-05-11;restaurants open;;;;;;;;;;
2020-06-15;everything opens;;;;;;;;;;
2020-10-28;"""lockdwon light"": restaurants, culture close";;;;;;;;;;
2020-12-16;schools, shops close;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
